STATION,NAME,DATE,DY,PRCP,TMAX,TMIN
USC00036920,"STUTTGART 9 ESE, AR US",1966-11,1,2.07,64.8,43.7
USC00036920,"STUTTGART 9 ESE, AR US",1966-12,1,4.79,50.5,34.1
USC00036920,"STUTTGART 9 ESE, AR US",1967-01,1,1.87,50.8,32.3
USC00036920,"STUTTGART 9 ESE, AR US",1967-02,1,2.28,50.4,29.9
USC00036920,"STUTTGART 9 ESE, AR US",1967-03,1,2.88,67.9,46.2
USC00036920,"STUTTGART 9 ESE, AR US",1967-04,1,6.62,77.4,56.2
USC00036920,"STUTTGART 9 ESE, AR US",1967-05,1,7.09,78.4,58.5
USC00036920,"STUTTGART 9 ESE, AR US",1967-06,1,2.53,87.2,69.8
USC00036920,"STUTTGART 9 ESE, AR US",1967-07,1,4.11,86.2,68.3
USC00036920,"STUTTGART 9 ESE, AR US",1967-08,1,1.57,85.8,65.5
USC00036920,"STUTTGART 9 ESE, AR US",1967-09,1,4.13,78.6,59.6
USC00036920,"STUTTGART 9 ESE, AR US",1967-10,1,2.33,75.4,48.1
USC00036920,"STUTTGART 9 ESE, AR US",1967-11,1,1.8,61.6,37
USC00036920,"STUTTGART 9 ESE, AR US",1967-12,1,7.44,54.1,34.9
USC00036920,"STUTTGART 9 ESE, AR US",1968-01,1,5.2,45,30.2
USC00036920,"STUTTGART 9 ESE, AR US",1968-02,1,1.44,47.7,29
USC00036920,"STUTTGART 9 ESE, AR US",1968-03,1,6.4,59,40.8
USC00036920,"STUTTGART 9 ESE, AR US",1968-04,1,3.82,71.4,52.9
USC00036920,"STUTTGART 9 ESE, AR US",1968-05,1,9.02,77.9,59.5
USC00036920,"STUTTGART 9 ESE, AR US",1968-06,1,1.24,89.3,69
USC00036920,"STUTTGART 9 ESE, AR US",1968-07,1,3.79,89,70.3
USC00036920,"STUTTGART 9 ESE, AR US",1968-08,1,2.01,89.8,70
USC00036920,"STUTTGART 9 ESE, AR US",1968-09,1,5.84,81.3,57.7
USC00036920,"STUTTGART 9 ESE, AR US",1968-10,1,2.81,74.2,48.3
USC00036920,"STUTTGART 9 ESE, AR US",1968-11,1,3.64,60.6,40.6
USC00036920,"STUTTGART 9 ESE, AR US",1968-12,1,4.9,50.4,31.7
USC00036920,"STUTTGART 9 ESE, AR US",1969-01,1,3.31,49.7,32.7
USC00036920,"STUTTGART 9 ESE, AR US",1969-02,1,4.54,51.2,34.8
USC00036920,"STUTTGART 9 ESE, AR US",1969-03,1,3.48,55.4,36.6
USC00036920,"STUTTGART 9 ESE, AR US",1969-04,1,2.8,72.2,53
USC00036920,"STUTTGART 9 ESE, AR US",1969-05,1,2.29,82,61.6
USC00036920,"STUTTGART 9 ESE, AR US",1969-06,1,3.59,88.1,67.1
USC00036920,"STUTTGART 9 ESE, AR US",1969-07,1,2.02,94.2,73.6
USC00036920,"STUTTGART 9 ESE, AR US",1969-08,1,3.96,89.1,67.2
USC00036920,"STUTTGART 9 ESE, AR US",1969-09,1,0.78,83.1,61.1
USC00036920,"STUTTGART 9 ESE, AR US",1969-10,1,1.68,74.8,49.4
USC00036920,"STUTTGART 9 ESE, AR US",1969-11,1,4.18,61.6,38.4
USC00036920,"STUTTGART 9 ESE, AR US",1969-12,1,7.18,50.6,32.5
USC00036920,"STUTTGART 9 ESE, AR US",1970-01,1,1.01,43.6,25.5
USC00036920,"STUTTGART 9 ESE, AR US",1970-02,1,4.01,52.4,32.4
USC00036920,"STUTTGART 9 ESE, AR US",1970-03,1,6.39,56.4,40.9
